# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# popcnt
66 0FB8 CE, INVALID, INVALID, 0, code=INVALID
66 F2 0FB8 CE, INVALID, INVALID, 0, code=INVALID
0FB8 CE, INVALID, INVALID, 0, code=INVALID
F2 0FB8 CE, INVALID, INVALID, 0, code=INVALID
# crc32
66 0F38F1 CE, INVALID, INVALID, 0, code=INVALID
66 F3 0F38F1 CE, INVALID, INVALID, 0, code=INVALID
0F38F1 CE, INVALID, INVALID, 0, code=INVALID
F3 0F38F1 CE, INVALID, INVALID, 0, code=INVALID

00 CE, Add_rm8_r8, Add, 2, op0=r;dh op1=r;cl
F0 00 CE, Add_rm8_r8, Add, 2, op0=r;dh op1=r;cl decopt=NoInvalidCheck lock
F0 00 CE, INVALID, INVALID, 0, code=Add_rm8_r8
00 38, Add_rm8_r8, Add, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh
F0 00 38, Add_rm8_r8, Add, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock
F0 F3 00 38, Add_rm8_r8, Add, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xrelease repe
F0 F2 00 38, Add_rm8_r8, Add, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xacquire repne

01 CE, Add_rm16_r16, Add, 2, op0=r;si op1=r;cx
F0 01 CE, INVALID, INVALID, 0, code=Add_rm16_r16
01 18, Add_rm16_r16, Add, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
F0 01 18, Add_rm16_r16, Add, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock
F0 F3 01 18, Add_rm16_r16, Add, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xrelease repe
F0 F2 01 18, Add_rm16_r16, Add, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xacquire repne

66 01 CE, Add_rm32_r32, Add, 2, op0=r;esi op1=r;ecx
F0 66 01 CE, INVALID, INVALID, 0, code=Add_rm32_r32
66 01 18, Add_rm32_r32, Add, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx
F0 66 01 18, Add_rm32_r32, Add, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock
F0 66 F3 01 18, Add_rm32_r32, Add, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xrelease repe
