# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# ⚠️This file was generated by GENERATOR!🦹‍♂️

INVALID, INVALID, Unknown, Unknown, legacy, , legacy, 00, <invalid>, <invalid>, no-instr 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
DeclareByte, Db, Unknown, Unknown, legacy, , legacy, 00, <db>, <db>, no-instr 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
DeclareWord, Dw, Unknown, Unknown, legacy, , legacy, 00, <dw>, <dw>, no-instr 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
DeclareDword, Dd, Unknown, Unknown, legacy, , legacy, 00, <dd>, <dd>, no-instr 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
DeclareQword, Dq, Unknown, Unknown, legacy, , legacy, 00, <dq>, <dq>, no-instr 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_rm8_r8, Add, UInt8, Unknown, legacy, , legacy, 00, 00 /r, ADD r/m8| r8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_or_mem;r8_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_rm16_r16, Add, UInt16, Unknown, legacy, , legacy, 01, o16 01 /r, ADD r/m16| r16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_or_mem;r16_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_rm32_r32, Add, UInt32, Unknown, legacy, , legacy, 01, o32 01 /r, ADD r/m32| r32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_or_mem;r32_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_rm64_r64, Add, UInt64, Unknown, legacy, , legacy, 01, o64 01 /r, ADD r/m64| r64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_or_mem;r64_reg lock xacquire xrelease intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_r8_rm8, Add, UInt8, Unknown, legacy, , legacy, 02, 02 /r, ADD r8| r/m8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_reg;r8_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_r16_rm16, Add, UInt16, Unknown, legacy, , legacy, 03, o16 03 /r, ADD r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_r32_rm32, Add, UInt32, Unknown, legacy, , legacy, 03, o32 03 /r, ADD r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_r64_rm64, Add, UInt64, Unknown, legacy, , legacy, 03, o64 03 /r, ADD r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
