# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

REP movsb %fs:(%rsi),%es:(%rdi)
rep movsb %fs:(%rsi),%es:(%rdi)

MOV %cr4,%rcx
mov %cr4,%rcx

mov %CR4,%RCX
mov %cr4,%rcx

jo 0x7ffffffffffffff2
jo 0x7ffffffffffffff2

vsqrtss {RN-SAE},%xmm3,%xmm6,%xmm2{%k3}{Z}
vsqrtss {rn-sae},%xmm3,%xmm6,%xmm2{%k3}{z}
vsqrtss {RD-SAE},%xmm3,%xmm6,%xmm2{%k3}{Z}
vsqrtss {rd-sae},%xmm3,%xmm6,%xmm2{%k3}{z}
vsqrtss {RU-SAE},%xmm3,%xmm6,%xmm2{%k3}{Z}
vsqrtss {ru-sae},%xmm3,%xmm6,%xmm2{%k3}{z}
vsqrtss {RZ-SAE},%xmm3,%xmm6,%xmm2{%k3}{Z}
vsqrtss {rz-sae},%xmm3,%xmm6,%xmm2{%k3}{z}
vfixupimmpd $0xa5,{SAE},%zmm3,%zmm6,%zmm2{%k3}{Z}
vfixupimmpd $0xa5,{sae},%zmm3,%zmm6,%zmm2{%k3}{z}

REP MOVSB %FS:(%RSI),%ES:(%RDI)
rep movsb %fs:(%rsi),%es:(%rdi)
MOV %CR4,%RCX
mov %cr4,%rcx
VFNMSUB213PS {RU-SAE},%ZMM3,%ZMM6,%ZMM2{%K3}{Z}
vfnmsub213ps {ru-sae},%zmm3,%zmm6,%zmm2{%k3}{z}
JO 0x7ffffffffffffff2
jo 0x7ffffffffffffff2

mov %cr4,%rcx
mov	%cr4,%rcx

mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov  %cr4,%rcx
mov   %cr4,%rcx
mov    %cr4,%rcx
mov     %cr4,%rcx
mov      %cr4,%rcx
mov       %cr4,%rcx
mov        %cr4,%rcx
mov         %cr4,%rcx
mov          %cr4,%rcx
mov           %cr4,%rcx
mov            %cr4,%rcx
mov             %cr4,%rcx
mov              %cr4,%rcx
mov               %cr4,%rcx
mov                %cr4,%rcx
mov                 %cr4,%rcx

mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov		%cr4,%rcx
mov			%cr4,%rcx
mov				%cr4,%rcx
mov					%cr4,%rcx
mov						%cr4,%rcx
mov							%cr4,%rcx
mov								%cr4,%rcx
mov									%cr4,%rcx
mov										%cr4,%rcx
mov											%cr4,%rcx
mov												%cr4,%rcx
mov													%cr4,%rcx
mov														%cr4,%rcx
mov															%cr4,%rcx
mov																%cr4,%rcx
mov																	%cr4,%rcx

mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	 %cr4,%rcx
mov		%cr4,%rcx
mov		 %cr4,%rcx
mov			%cr4,%rcx
mov			 %cr4,%rcx
mov				%cr4,%rcx
mov				 %cr4,%rcx
mov					%cr4,%rcx
mov					 %cr4,%rcx
mov						%cr4,%rcx
mov						 %cr4,%rcx
mov							%cr4,%rcx
mov							 %cr4,%rcx
mov								%cr4,%rcx
mov								 %cr4,%rcx
mov									%cr4,%rcx

mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov  %cr4,%rcx
mov	%cr4,%rcx
mov	 %cr4,%rcx
mov	  %cr4,%rcx
mov		%cr4,%rcx
mov		 %cr4,%rcx
mov		  %cr4,%rcx
mov			%cr4,%rcx
mov			 %cr4,%rcx
mov			  %cr4,%rcx
mov				%cr4,%rcx
mov				 %cr4,%rcx
mov				  %cr4,%rcx
mov					%cr4,%rcx
mov					 %cr4,%rcx
mov					  %cr4,%rcx

mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	%cr4,%rcx
mov	 %cr4,%rcx
mov	  %cr4,%rcx
mov	   %cr4,%rcx
mov		%cr4,%rcx
mov		 %cr4,%rcx
mov		  %cr4,%rcx
mov		   %cr4,%rcx
mov			%cr4,%rcx
mov			 %cr4,%rcx
mov			  %cr4,%rcx
mov			   %cr4,%rcx
mov				%cr4,%rcx
mov				 %cr4,%rcx
mov				  %cr4,%rcx
mov				   %cr4,%rcx
mov					%cr4,%rcx

mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov  %cr4,%rcx
mov   %cr4,%rcx
mov    %cr4,%rcx
mov	%cr4,%rcx
mov	 %cr4,%rcx
mov	  %cr4,%rcx
mov	   %cr4,%rcx
mov	    %cr4,%rcx
mov	     %cr4,%rcx
mov	      %cr4,%rcx
mov	       %cr4,%rcx
mov		%cr4,%rcx
mov		 %cr4,%rcx
mov		  %cr4,%rcx
mov		   %cr4,%rcx
mov		    %cr4,%rcx

mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov %cr4,%rcx
mov  %cr4,%rcx
mov   %cr4,%rcx
mov    %cr4,%rcx
mov     %cr4,%rcx
mov      %cr4,%rcx
mov       %cr4,%rcx
mov        %cr4,%rcx
mov         %cr4,%rcx
mov          %cr4,%rcx
mov           %cr4,%rcx
mov            %cr4,%rcx
mov             %cr4,%rcx
mov              %cr4,%rcx
mov               %cr4,%rcx
mov                %cr4,%rcx
mov                 %cr4,%rcx

movl $0xedcba988,-0x12( %rax,%rcx,2 )
movl $0xedcba988,-0x12(%rax,%rcx,2)

movl $0xedcba988,-0x12(%rax,%rcx,2)
movl $0xedcba988,-0x12(%rax,%rcx,2)

movl $0xedcba988,0x12(%rax,%rcx,2)
movl $0xedcba988,0x12(%rax,%rcx,2)

movl $0xedcba988,-0x12(%rax,%rcx,2)
movl $0xedcba988,-0x12(%rax,%rcx,2)

movl $0xedcba988,-0x12(%rax,%rcx,2)
movl $0xedcba988,-0x12(%rax,%rcx,2)

