# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

06, Pushw_ES
66 06, Pushd_ES
07, Popw_ES
66 07, Popd_ES
0E, Pushw_CS
66 0E, Pushd_CS
16, Pushw_SS
66 16, Pushd_SS
17, Popw_SS
66 17, Popd_SS
1E, Pushw_DS
66 1E, Pushd_DS
1F, Popw_DS
66 1F, Popd_DS
60, Pushaw
66 60, Pushad
61, Popaw
66 61, Popad
66 68 5AA51234, Pushd_imm32
66 6A A5, Pushd_imm8
70 5A, Jo_rel8_16
66 70 5A, Jo_rel8_32
71 5A, Jno_rel8_16
66 71 5A, Jno_rel8_32
72 5A, Jb_rel8_16
66 72 5A, Jb_rel8_32
73 5A, Jae_rel8_16
66 73 5A, Jae_rel8_32
74 5A, Je_rel8_16
66 74 5A, Je_rel8_32
75 5A, Jne_rel8_16
66 75 5A, Jne_rel8_32
76 5A, Jbe_rel8_16
66 76 5A, Jbe_rel8_32
77 5A, Ja_rel8_16
66 77 5A, Ja_rel8_32
78 5A, Js_rel8_16
66 78 5A, Js_rel8_32
79 5A, Jns_rel8_16
66 79 5A, Jns_rel8_32
7A 5A, Jp_rel8_16
66 7A 5A, Jp_rel8_32
7B 5A, Jnp_rel8_16
66 7B 5A, Jnp_rel8_32
7C 5A, Jl_rel8_16
66 7C 5A, Jl_rel8_32
7D 5A, Jge_rel8_16
66 7D 5A, Jge_rel8_32
7E 5A, Jle_rel8_16
66 7E 5A, Jle_rel8_32
7F 5A, Jg_rel8_16
66 7F 5A, Jg_rel8_32
66 8F C6, Pop_rm32
66 8F 00, Pop_rm32
9A 1234 5678, Call_ptr1616
66 9A 12345678 9ABC, Call_ptr1632
66 9C, Pushfd
66 9D, Popfd
C2 5AA5, Retnw_imm16
66 C2 5AA5, Retnd_imm16
C3, Retnw
66 C3, Retnd
C4 18, Les_r16_m1616
66 C4 18, Les_r32_m1632
C5 18, Lds_r16_m1616
66 C5 18, Lds_r32_m1632
66 C8 5AA5 A6, Enterd_imm16_imm8
66 C9, Leaved
E0 5A, Loopne_rel8_16_CX
66 E0 5A, Loopne_rel8_32_CX
67 E0 5A, Loopne_rel8_16_ECX
66 67 E0 5A, Loopne_rel8_32_ECX
E1 5A, Loope_rel8_16_CX
66 E1 5A, Loope_rel8_32_CX
67 E1 5A, Loope_rel8_16_ECX
66 67 E1 5A, Loope_rel8_32_ECX
E2 5A, Loop_rel8_16_CX
66 E2 5A, Loop_rel8_32_CX
67 E2 5A, Loop_rel8_16_ECX
66 67 E2 5A, Loop_rel8_32_ECX
E3 5A, Jcxz_rel8_16
66 E3 5A, Jcxz_rel8_32
67 E3 5A, Jecxz_rel8_16
66 67 E3 5A, Jecxz_rel8_32
E8 5AA5, Call_rel16
66 E8 12345AA5, Call_rel32_32
E9 5AA5, Jmp_rel16
66 E9 12345AA5, Jmp_rel32_32
EA 1234 5678, Jmp_ptr1616
66 EA 12345678 EABC, Jmp_ptr1632
EB 5A, Jmp_rel8_16
66 EB 5A, Jmp_rel8_32
FF D1, Call_rm16
FF 10, Call_rm16
66 FF D1, Call_rm32
66 FF 10, Call_rm32
FF E2, Jmp_rm16
FF 20, Jmp_rm16
66 FF E2, Jmp_rm32
66 FF 20, Jmp_rm32
66 FF F6, Push_rm32
66 FF 30, Push_rm32
67 66 0F1A CA, Bndmov_bnd_bndm64, MPX
67 66 0F1A 08, Bndmov_bnd_bndm64, MPX
67 F3 0F1A CA, Bndcl_bnd_rm32, MPX
67 F3 0F1A 08, Bndcl_bnd_rm32, MPX
67 F2 0F1A CA, Bndcu_bnd_rm32, MPX
67 F2 0F1A 08, Bndcu_bnd_rm32, MPX
67 66 0F1B CA, Bndmov_bndm64_bnd, MPX
67 66 0F1B 08, Bndmov_bndm64_bnd, MPX
67 F3 0F1B 08, Bndmk_bnd_m32, MPX
67 F2 0F1B CA, Bndcn_bnd_rm32, MPX
67 F2 0F1B 08, Bndcn_bnd_rm32, MPX
0F78 CE, Vmread_rm32_r32
0F78 18, Vmread_rm32_r32
0F79 CE, Vmwrite_r32_rm32
0F79 18, Vmwrite_r32_rm32
0F80 5AA5, Jo_rel16
66 0F80 5AA51234, Jo_rel32_32
0F81 5AA5, Jno_rel16
66 0F81 5AA51234, Jno_rel32_32
0F82 5AA5, Jb_rel16
66 0F82 5AA51234, Jb_rel32_32
0F83 5AA5, Jae_rel16
66 0F83 5AA51234, Jae_rel32_32
0F84 5AA5, Je_rel16
66 0F84 5AA51234, Je_rel32_32
0F85 5AA5, Jne_rel16
66 0F85 5AA51234, Jne_rel32_32
0F86 5AA5, Jbe_rel16
