# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

66 06, Pushw_ES
06, Pushd_ES
66 07, Popw_ES
07, Popd_ES
66 0E, Pushw_CS
0E, Pushd_CS
66 16, Pushw_SS
16, Pushd_SS
66 17, Popw_SS
17, Popd_SS
66 1E, Pushw_DS
1E, Pushd_DS
66 1F, Popw_DS
1F, Popd_DS
27, Daa
2F, Das
37, Aaa
3F, Aas
66 40, Inc_r16
40, Inc_r32
66 41, Inc_r16
41, Inc_r32
66 42, Inc_r16
42, Inc_r32
66 43, Inc_r16
43, Inc_r32
66 44, Inc_r16
44, Inc_r32
66 45, Inc_r16
45, Inc_r32
66 46, Inc_r16
46, Inc_r32
66 47, Inc_r16
47, Inc_r32
66 48, Dec_r16
48, Dec_r32
66 49, Dec_r16
49, Dec_r32
66 4A, Dec_r16
4A, Dec_r32
66 4B, Dec_r16
4B, Dec_r32
66 4C, Dec_r16
4C, Dec_r32
66 4D, Dec_r16
4D, Dec_r32
66 4E, Dec_r16
4E, Dec_r32
66 4F, Dec_r16
4F, Dec_r32
50, Push_r32
51, Push_r32
52, Push_r32
53, Push_r32
54, Push_r32
55, Push_r32
56, Push_r32
57, Push_r32
58, Pop_r32
59, Pop_r32
5A, Pop_r32
5B, Pop_r32
5C, Pop_r32
5D, Pop_r32
5E, Pop_r32
5F, Pop_r32
66 60, Pushaw
60, Pushad
66 61, Popaw
61, Popad
66 62 18, Bound_r16_m1616
62 18, Bound_r32_m3232
63 F2, Arpl_r32m16_r32
63 18, Arpl_r32m16_r32
68 5AA51234, Pushd_imm32
6A A5, Pushd_imm8
66 70 5A, Jo_rel8_16
70 5A, Jo_rel8_32
66 71 5A, Jno_rel8_16
71 5A, Jno_rel8_32
66 72 5A, Jb_rel8_16
72 5A, Jb_rel8_32
66 73 5A, Jae_rel8_16
73 5A, Jae_rel8_32
66 74 5A, Je_rel8_16
74 5A, Je_rel8_32
66 75 5A, Jne_rel8_16
75 5A, Jne_rel8_32
66 76 5A, Jbe_rel8_16
76 5A, Jbe_rel8_32
66 77 5A, Ja_rel8_16
77 5A, Ja_rel8_32
66 78 5A, Js_rel8_16
78 5A, Js_rel8_32
66 79 5A, Jns_rel8_16
79 5A, Jns_rel8_32
66 7A 5A, Jp_rel8_16
7A 5A, Jp_rel8_32
66 7B 5A, Jnp_rel8_16
7B 5A, Jnp_rel8_32
66 7C 5A, Jl_rel8_16
7C 5A, Jl_rel8_32
66 7D 5A, Jge_rel8_16
7D 5A, Jge_rel8_32
66 7E 5A, Jle_rel8_16
7E 5A, Jle_rel8_32
66 7F 5A, Jg_rel8_16
7F 5A, Jg_rel8_32
8F C6, Pop_rm32
8F 00, Pop_rm32
66 9A 1234 5678, Call_ptr1616
9A 12345678 9ABC, Call_ptr1632
9C, Pushfd
9D, Popfd
66 C2 5AA5, Retnw_imm16
C2 5AA5, Retnd_imm16
66 C3, Retnw
C3, Retnd
66 F3 C3, Retnw
F3 C3, Retnd
66 C4 18, Les_r16_m1616
C4 18, Les_r32_m1632
66 C5 18, Lds_r16_m1616
C5 18, Lds_r32_m1632
C8 5AA5 A6, Enterd_imm16_imm8
C9, Leaved
CE, Into
D4 0A, Aam_imm8
D5 0A, Aad_imm8
66 67 E0 5A, Loopne_rel8_16_CX
67 E0 5A, Loopne_rel8_32_CX
66 E0 5A, Loopne_rel8_16_ECX
E0 5A, Loopne_rel8_32_ECX
66 67 E1 5A, Loope_rel8_16_CX
67 E1 5A, Loope_rel8_32_CX
66 E1 5A, Loope_rel8_16_ECX
E1 5A, Loope_rel8_32_ECX
66 67 E2 5A, Loop_rel8_16_CX
67 E2 5A, Loop_rel8_32_CX
66 E2 5A, Loop_rel8_16_ECX
E2 5A, Loop_rel8_32_ECX
66 67 E3 5A, Jcxz_rel8_16
67 E3 5A, Jcxz_rel8_32
66 E3 5A, Jecxz_rel8_16
E3 5A, Jecxz_rel8_32
66 E8 5AA5, Call_rel16
E8 12345AA5, Call_rel32_32
66 E9 5AA5, Jmp_rel16
E9 12345AA5, Jmp_rel32_32
66 EA 1234 5678, Jmp_ptr1616
EA 12345678 EABC, Jmp_ptr1632
66 EB 5A, Jmp_rel8_16
EB 5A, Jmp_rel8_32
66 FF D1, Call_rm16
66 FF 10, Call_rm16
FF D1, Call_rm32
FF 10, Call_rm32
66 FF E2, Jmp_rm16
66 FF 20, Jmp_rm16
FF E2, Jmp_rm32
FF 20, Jmp_rm32
FF F6, Push_rm32
FF 30, Push_rm32
66 0F1A CA, Bndmov_bnd_bndm64, MPX
66 0F1A 08, Bndmov_bnd_bndm64, MPX
F3 0F1A CA, Bndcl_bnd_rm32, MPX
F3 0F1A 08, Bndcl_bnd_rm32, MPX
F2 0F1A CA, Bndcu_bnd_rm32, MPX
F2 0F1A 08, Bndcu_bnd_rm32, MPX
66 0F1B CA, Bndmov_bndm64_bnd, MPX
66 0F1B 08, Bndmov_bndm64_bnd, MPX
F3 0F1B 08, Bndmk_bnd_m32, MPX
F2 0F1B CA, Bndcn_bnd_rm32, MPX
F2 0F1B 08, Bndcn_bnd_rm32, MPX
0F20 DE, Mov_r32_cr
0F21 DE, Mov_r32_dr
0F22 DE, Mov_cr_r32
0F23 DE, Mov_dr_r32
0F78 CE, Vmread_rm32_r32
0F78 18, Vmread_rm32_r32
0F79 CE, Vmwrite_r32_rm32
0F79 18, Vmwrite_r32_rm32
66 0F80 5AA5, Jo_rel16
0F80 5AA51234, Jo_rel32_32
66 0F81 5AA5, Jno_rel16
0F81 5AA51234, Jno_rel32_32
66 0F82 5AA5, Jb_rel16
0F82 5AA51234, Jb_rel32_32
66 0F83 5AA5, Jae_rel16
0F83 5AA51234, Jae_rel32_32
66 0F84 5AA5, Je_rel16
0F84 5AA51234, Je_rel32_32
66 0F85 5AA5, Jne_rel16
0F85 5AA51234, Jne_rel32_32
66 0F86 5AA5, Jbe_rel16
0F86 5AA51234, Jbe_rel32_32
66 0F87 5AA5, Ja_rel16
0F87 5AA51234, Ja_rel32_32
66 0F88 5AA5, Js_rel16
0F88 5AA51234, Js_rel32_32
66 0F89 5AA5, Jns_rel16
0F89 5AA51234, Jns_rel32_32
66 0F8A 5AA5, Jp_rel16
0F8A 5AA51234, Jp_rel32_32
66 0F8B 5AA5, Jnp_rel16
0F8B 5AA51234, Jnp_rel32_32
66 0F8C 5AA5, Jl_rel16
0F8C 5AA51234, Jl_rel32_32
66 0F8D 5AA5, Jge_rel16
0F8D 5AA51234, Jge_rel32_32
66 0F8E 5AA5, Jle_rel16
0F8E 5AA51234, Jle_rel32_32
66 0F8F 5AA5, Jg_rel16
0F8F 5AA51234, Jg_rel32_32
0FA0, Pushd_FS
0FA1, Popd_FS
0FA8, Pushd_GS
0FA9, Popd_GS
F3 0FC7 FA, Rdpid_r32
66 0F3880 10, Invept_r32_m128
66 0F3881 10, Invvpid_r32_m128
66 0F3882 10, Invpcid_r32_m128
D6, Salc
66 68 5AA5, Push_imm16
66 6A A5, Pushw_imm8
67 6C, Insb_m8_DX
6C, Insb_m8_DX
66 67 6D, Insw_m16_DX
66 6D, Insw_m16_DX
67 6D, Insd_m32_DX
6D, Insd_m32_DX
67 6E, Outsb_DX_m8
6E, Outsb_DX_m8
66 67 6F, Outsw_DX_m16
