# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

00 CE, Add_rm8_r8
00 38, Add_rm8_r8
66 01 CE, Add_rm16_r16
66 01 18, Add_rm16_r16
01 CE, Add_rm32_r32
01 18, Add_rm32_r32
48 01 CE, Add_rm64_r64
48 01 18, Add_rm64_r64
02 CE, Add_r8_rm8
02 38, Add_r8_rm8
66 03 CE, Add_r16_rm16
66 03 18, Add_r16_rm16
03 CE, Add_r32_rm32
03 18, Add_r32_rm32
48 03 CE, Add_r64_rm64
48 03 18, Add_r64_rm64
04 A5, Add_AL_imm8
66 05 A55A, Add_AX_imm16
05 A55A3412, Add_EAX_imm32
48 05 A55A3482, Add_RAX_imm32
08 CE, Or_rm8_r8
08 38, Or_rm8_r8
66 09 CE, Or_rm16_r16
66 09 18, Or_rm16_r16
09 CE, Or_rm32_r32
09 18, Or_rm32_r32
48 09 CE, Or_rm64_r64
48 09 18, Or_rm64_r64
0A CE, Or_r8_rm8
0A 38, Or_r8_rm8
66 0B CE, Or_r16_rm16
66 0B 18, Or_r16_rm16
0B CE, Or_r32_rm32
0B 18, Or_r32_rm32
48 0B CE, Or_r64_rm64
48 0B 18, Or_r64_rm64
0C A5, Or_AL_imm8
66 0D A55A, Or_AX_imm16
0D A55A3412, Or_EAX_imm32
48 0D A55A3482, Or_RAX_imm32
10 CE, Adc_rm8_r8
10 38, Adc_rm8_r8
66 11 CE, Adc_rm16_r16
66 11 18, Adc_rm16_r16
11 CE, Adc_rm32_r32
11 18, Adc_rm32_r32
48 11 CE, Adc_rm64_r64
48 11 18, Adc_rm64_r64
12 CE, Adc_r8_rm8
12 38, Adc_r8_rm8
66 13 CE, Adc_r16_rm16
66 13 18, Adc_r16_rm16
13 CE, Adc_r32_rm32
13 18, Adc_r32_rm32
48 13 CE, Adc_r64_rm64
48 13 18, Adc_r64_rm64
14 A5, Adc_AL_imm8
66 15 A55A, Adc_AX_imm16
15 A55A3412, Adc_EAX_imm32
48 15 A55A3482, Adc_RAX_imm32
18 CE, Sbb_rm8_r8
18 38, Sbb_rm8_r8
66 19 CE, Sbb_rm16_r16
66 19 18, Sbb_rm16_r16
19 CE, Sbb_rm32_r32
19 18, Sbb_rm32_r32
48 19 CE, Sbb_rm64_r64
48 19 18, Sbb_rm64_r64
1A CE, Sbb_r8_rm8
1A 38, Sbb_r8_rm8
66 1B CE, Sbb_r16_rm16
66 1B 18, Sbb_r16_rm16
1B CE, Sbb_r32_rm32
1B 18, Sbb_r32_rm32
48 1B CE, Sbb_r64_rm64
48 1B 18, Sbb_r64_rm64
1C A5, Sbb_AL_imm8
66 1D A55A, Sbb_AX_imm16
1D A55A3412, Sbb_EAX_imm32
48 1D A55A3482, Sbb_RAX_imm32
20 CE, And_rm8_r8
20 38, And_rm8_r8
66 21 CE, And_rm16_r16
66 21 18, And_rm16_r16
21 CE, And_rm32_r32
21 18, And_rm32_r32
48 21 CE, And_rm64_r64
48 21 18, And_rm64_r64
22 CE, And_r8_rm8
22 38, And_r8_rm8
66 23 CE, And_r16_rm16
66 23 18, And_r16_rm16
23 CE, And_r32_rm32
23 18, And_r32_rm32
48 23 CE, And_r64_rm64
48 23 18, And_r64_rm64
24 A5, And_AL_imm8
66 25 A55A, And_AX_imm16
25 A55A3412, And_EAX_imm32
48 25 A55A3482, And_RAX_imm32
28 CE, Sub_rm8_r8
28 38, Sub_rm8_r8
66 29 CE, Sub_rm16_r16
66 29 18, Sub_rm16_r16
29 CE, Sub_rm32_r32
29 18, Sub_rm32_r32
48 29 CE, Sub_rm64_r64
48 29 18, Sub_rm64_r64
2A CE, Sub_r8_rm8
2A 38, Sub_r8_rm8
66 2B CE, Sub_r16_rm16
66 2B 18, Sub_r16_rm16
2B CE, Sub_r32_rm32
2B 18, Sub_r32_rm32
48 2B CE, Sub_r64_rm64
48 2B 18, Sub_r64_rm64
2C A5, Sub_AL_imm8
66 2D A55A, Sub_AX_imm16
2D A55A3412, Sub_EAX_imm32
48 2D A55A3482, Sub_RAX_imm32
30 CE, Xor_rm8_r8
30 38, Xor_rm8_r8
66 31 CE, Xor_rm16_r16
66 31 18, Xor_rm16_r16
31 CE, Xor_rm32_r32
31 18, Xor_rm32_r32
48 31 CE, Xor_rm64_r64
48 31 18, Xor_rm64_r64
32 CE, Xor_r8_rm8
32 38, Xor_r8_rm8
66 33 CE, Xor_r16_rm16
66 33 18, Xor_r16_rm16
33 CE, Xor_r32_rm32
33 18, Xor_r32_rm32
48 33 CE, Xor_r64_rm64
48 33 18, Xor_r64_rm64
34 A5, Xor_AL_imm8
66 35 A55A, Xor_AX_imm16
35 A55A3412, Xor_EAX_imm32
48 35 A55A3482, Xor_RAX_imm32
38 CE, Cmp_rm8_r8
38 38, Cmp_rm8_r8
66 39 CE, Cmp_rm16_r16
66 39 18, Cmp_rm16_r16
39 CE, Cmp_rm32_r32
39 18, Cmp_rm32_r32
48 39 CE, Cmp_rm64_r64
48 39 18, Cmp_rm64_r64
3A CE, Cmp_r8_rm8
3A 38, Cmp_r8_rm8
66 3B CE, Cmp_r16_rm16
66 3B 18, Cmp_r16_rm16
3B CE, Cmp_r32_rm32
3B 18, Cmp_r32_rm32
48 3B CE, Cmp_r64_rm64
48 3B 18, Cmp_r64_rm64
3C A5, Cmp_AL_imm8
66 3D A55A, Cmp_AX_imm16
3D A55A3412, Cmp_EAX_imm32
48 3D A55A3482, Cmp_RAX_imm32
66 50, Push_r16
66 41 50, Push_r16
50, Push_r64
41 50, Push_r64
66 51, Push_r16
66 41 51, Push_r16
51, Push_r64
41 51, Push_r64
66 52, Push_r16
66 41 52, Push_r16
52, Push_r64
41 52, Push_r64
66 53, Push_r16
66 41 53, Push_r16
53, Push_r64
41 53, Push_r64
66 54, Push_r16
66 41 54, Push_r16
54, Push_r64
41 54, Push_r64
66 55, Push_r16
66 41 55, Push_r16
55, Push_r64
41 55, Push_r64
66 56, Push_r16
66 41 56, Push_r16
56, Push_r64
41 56, Push_r64
66 57, Push_r16
66 41 57, Push_r16
57, Push_r64
41 57, Push_r64
66 58, Pop_r16
66 41 58, Pop_r16
58, Pop_r64
41 58, Pop_r64
66 59, Pop_r16
66 41 59, Pop_r16
59, Pop_r64
41 59, Pop_r64
66 5A, Pop_r16
66 41 5A, Pop_r16
5A, Pop_r64
41 5A, Pop_r64
66 5B, Pop_r16
66 41 5B, Pop_r16
5B, Pop_r64
41 5B, Pop_r64
66 5C, Pop_r16
66 41 5C, Pop_r16
5C, Pop_r64
41 5C, Pop_r64
66 5D, Pop_r16
66 41 5D, Pop_r16
5D, Pop_r64
41 5D, Pop_r64
66 5E, Pop_r16
66 41 5E, Pop_r16
5E, Pop_r64
41 5E, Pop_r64
66 5F, Pop_r16
66 41 5F, Pop_r16
5F, Pop_r64
41 5F, Pop_r64
66 63 CE, Movsxd_r16_rm16
66 63 18, Movsxd_r16_rm16
63 CE, Movsxd_r32_rm32
63 18, Movsxd_r32_rm32
48 63 CE, Movsxd_r64_rm32
48 63 18, Movsxd_r64_rm32
66 68 5AA5, Push_imm16
68 5AA51284, Pushq_imm32
66 69 CE A55A, Imul_r16_rm16_imm16
66 69 18 5AA5, Imul_r16_rm16_imm16
69 CE 5AA51234, Imul_r32_rm32_imm32
69 18 5AA51234, Imul_r32_rm32_imm32
48 69 CE 5AA51284, Imul_r64_rm64_imm32
48 69 18 5AA51284, Imul_r64_rm64_imm32
66 6A A5, Pushw_imm8
6A A5, Pushq_imm8
66 6B CE A5, Imul_r16_rm16_imm8
66 6B 18 A5, Imul_r16_rm16_imm8
6B CE A5, Imul_r32_rm32_imm8
6B 18 A5, Imul_r32_rm32_imm8
48 6B CE A5, Imul_r64_rm64_imm8
48 6B 18 A5, Imul_r64_rm64_imm8
67 6C, Insb_m8_DX
6C, Insb_m8_DX
66 67 6D, Insw_m16_DX
66 6D, Insw_m16_DX
67 6D, Insd_m32_DX
6D, Insd_m32_DX
67 6E, Outsb_DX_m8
6E, Outsb_DX_m8
66 67 6F, Outsw_DX_m16
66 6F, Outsw_DX_m16
67 6F, Outsd_DX_m32
6F, Outsd_DX_m32
70 5A, Jo_rel8_64
71 5A, Jno_rel8_64
72 5A, Jb_rel8_64
73 5A, Jae_rel8_64
74 5A, Je_rel8_64
75 5A, Jne_rel8_64
76 5A, Jbe_rel8_64
77 5A, Ja_rel8_64
78 5A, Js_rel8_64
79 5A, Jns_rel8_64
7A 5A, Jp_rel8_64
7B 5A, Jnp_rel8_64
7C 5A, Jl_rel8_64
7D 5A, Jge_rel8_64
7E 5A, Jle_rel8_64
7F 5A, Jg_rel8_64
80 C1 5A, Add_rm8_imm8
80 00 5A, Add_rm8_imm8
80 CA A5, Or_rm8_imm8
80 08 A5, Or_rm8_imm8
80 D3 5A, Adc_rm8_imm8
80 10 5A, Adc_rm8_imm8
80 DC A5, Sbb_rm8_imm8
80 18 A5, Sbb_rm8_imm8
80 E5 5A, And_rm8_imm8
80 20 5A, And_rm8_imm8
80 EE A5, Sub_rm8_imm8
