# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

64, 64 F3 A4, Movsb_m8_m8, UppercasePrefixes=true
64, 64 F3 A4, Movsb_m8_m8, UppercasePrefixes=false

64, 0F 20 E1, Mov_r64_cr, UppercaseMnemonics=true
64, 0F 20 E1, Mov_r64_cr, UppercaseMnemonics=false

64, 0F 20 E1, Mov_r64_cr, UppercaseRegisters=true
64, 0F 20 E1, Mov_r64_cr, UppercaseRegisters=false

64, 70 00, Jo_rel8_64, UppercaseKeywords=true ShowBranchSize=true
64, 70 00, Jo_rel8_64, UppercaseKeywords=false ShowBranchSize=true

64, 62 F14E9B 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=true
64, 62 F14E9B 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=false
64, 62 F14EBB 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=true
64, 62 F14EBB 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=false
64, 62 F14EDB 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=true
64, 62 F14EDB 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=false
64, 62 F14EFB 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=true
64, 62 F14EFB 51 D3, EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er, UppercaseDecorators=false
64, 62 F3CDDB 54 D3 A5, EVEX_Vfixupimmpd_zmm_k1z_zmm_zmmm512b64_imm8_sae, UppercaseDecorators=true
64, 62 F3CDDB 54 D3 A5, EVEX_Vfixupimmpd_zmm_k1z_zmm_zmmm512b64_imm8_sae, UppercaseDecorators=false

64, 64 F3 A4, Movsb_m8_m8, UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=true
64, 64 F3 A4, Movsb_m8_m8, UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=false
64, 0F 20 E1, Mov_r64_cr, UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=true
64, 0F 20 E1, Mov_r64_cr, UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=false
64, 62 F24DDB AE D3, EVEX_Vfnmsub213ps_zmm_k1z_zmm_zmmm512b32_er, UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=true
64, 62 F24DDB AE D3, EVEX_Vfnmsub213ps_zmm_k1z_zmm_zmmm512b32_er, UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=false
64, 70 00, Jo_rel8_64, ShowBranchSize=true UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=true
64, 70 00, Jo_rel8_64, ShowBranchSize=true UppercasePrefixes=false UppercaseMnemonics=false UppercaseRegisters=false UppercaseKeywords=false UppercaseDecorators=false UppercaseAll=false

64, 0F 20 E1, Mov_r64_cr, TabSize=-1 FirstOperandCharIndex=-1
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=-1

64, 0F 20 E1, Mov_r64_cr, TabSize=-9 FirstOperandCharIndex=0
64, 0F 20 E1, Mov_r64_cr, TabSize=-8 FirstOperandCharIndex=1
64, 0F 20 E1, Mov_r64_cr, TabSize=-7 FirstOperandCharIndex=2
64, 0F 20 E1, Mov_r64_cr, TabSize=-6 FirstOperandCharIndex=3
64, 0F 20 E1, Mov_r64_cr, TabSize=-5 FirstOperandCharIndex=4
64, 0F 20 E1, Mov_r64_cr, TabSize=-4 FirstOperandCharIndex=5
64, 0F 20 E1, Mov_r64_cr, TabSize=-3 FirstOperandCharIndex=6
64, 0F 20 E1, Mov_r64_cr, TabSize=-2 FirstOperandCharIndex=7
64, 0F 20 E1, Mov_r64_cr, TabSize=-1 FirstOperandCharIndex=8
64, 0F 20 E1, Mov_r64_cr, TabSize=0 FirstOperandCharIndex=9
64, 0F 20 E1, Mov_r64_cr, TabSize=-9 FirstOperandCharIndex=10
64, 0F 20 E1, Mov_r64_cr, TabSize=-8 FirstOperandCharIndex=11
64, 0F 20 E1, Mov_r64_cr, TabSize=-7 FirstOperandCharIndex=12
64, 0F 20 E1, Mov_r64_cr, TabSize=-6 FirstOperandCharIndex=13
64, 0F 20 E1, Mov_r64_cr, TabSize=-5 FirstOperandCharIndex=14
64, 0F 20 E1, Mov_r64_cr, TabSize=-4 FirstOperandCharIndex=15
64, 0F 20 E1, Mov_r64_cr, TabSize=-3 FirstOperandCharIndex=16
64, 0F 20 E1, Mov_r64_cr, TabSize=-2 FirstOperandCharIndex=17
64, 0F 20 E1, Mov_r64_cr, TabSize=-1 FirstOperandCharIndex=18
64, 0F 20 E1, Mov_r64_cr, TabSize=0 FirstOperandCharIndex=19
64, 0F 20 E1, Mov_r64_cr, TabSize=-9 FirstOperandCharIndex=20

64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=0
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=1
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=2
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=3
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=4
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=5
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=6
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=7
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=8
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=9
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=10
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=11
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=12
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=13
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=14
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=15
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=16
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=17
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=18
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=19
64, 0F 20 E1, Mov_r64_cr, TabSize=1 FirstOperandCharIndex=20

64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=0
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=1
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=2
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=3
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=4
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=5
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=6
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=7
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=8
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=9
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=10
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=11
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=12
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=13
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=14
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=15
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=16
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=17
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=18
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=19
64, 0F 20 E1, Mov_r64_cr, TabSize=2 FirstOperandCharIndex=20

64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=0
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=1
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=2
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=3
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=4
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=5
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=6
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=7
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=8
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=9
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=10
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=11
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=12
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=13
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=14
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=15
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=16
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=17
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=18
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=19
64, 0F 20 E1, Mov_r64_cr, TabSize=3 FirstOperandCharIndex=20

64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=0
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=1
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=2
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=3
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=4
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=5
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=6
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=7
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=8
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=9
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=10
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=11
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=12
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=13
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=14
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=15
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=16
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=17
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=18
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=19
64, 0F 20 E1, Mov_r64_cr, TabSize=4 FirstOperandCharIndex=20

64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=0
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=1
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=2
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=3
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=4
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=5
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=6
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=7
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=8
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=9
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=10
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=11
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=12
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=13
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=14
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=15
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=16
64, 0F 20 E1, Mov_r64_cr, TabSize=8 FirstOperandCharIndex=17
