# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# pushw es
66 06, Pushw_ES, Legacy, INTEL8086, op0=r r=ss rw=xsp r=es wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push es
06, Pushd_ES, Legacy, INTEL386, op0=r r=ss rw=xsp r=es wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# popw es
66 07, Popw_ES, Legacy, INTEL8086, op0=w r=ss rw=xsp w=es rm=ss:xsp;UInt16 stack=2
# pop es
07, Popd_ES, Legacy, INTEL386, op0=w r=ss rw=xsp w=es rm=ss:xsp;UInt32 stack=4
# pushw cs
66 0E, Pushw_CS, Legacy, INTEL8086, op0=r r=ss rw=xsp r=cs wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push cs
0E, Pushd_CS, Legacy, INTEL386, op0=r r=ss rw=xsp r=cs wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# pushw ss
66 16, Pushw_SS, Legacy, INTEL8086, op0=r r=ss rw=xsp r=ss wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push ss
16, Pushd_SS, Legacy, INTEL386, op0=r r=ss rw=xsp r=ss wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# popw ss
66 17, Popw_SS, Legacy, INTEL8086, op0=w r=ss rw=xsp w=ss rm=ss:xsp;UInt16 stack=2
# pop ss
17, Popd_SS, Legacy, INTEL386, op0=w r=ss rw=xsp w=ss rm=ss:xsp;UInt32 stack=4
# pushw ds
66 1E, Pushw_DS, Legacy, INTEL8086, op0=r r=ss rw=xsp r=ds wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push ds
1E, Pushd_DS, Legacy, INTEL386, op0=r r=ss rw=xsp r=ds wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# popw ds
66 1F, Popw_DS, Legacy, INTEL8086, op0=w r=ss rw=xsp w=ds rm=ss:xsp;UInt16 stack=2
# pop ds
1F, Popd_DS, Legacy, INTEL386, op0=w r=ss rw=xsp w=ds rm=ss:xsp;UInt32 stack=4
# daa
27, Daa, Legacy, INTEL8086, fr=ca fw=caszp fu=o rw=al
# das
2F, Das, Legacy, INTEL8086, fr=ca fw=caszp fu=o rw=al
# aaa
37, Aaa, Legacy, INTEL8086, rw=ax fr=a fw=ac fu=oszp
# aas
3F, Aas, Legacy, INTEL8086, rw=ax fr=a fw=ac fu=oszp
# inc ax
66 40, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=ax
# inc eax
40, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=eax
# inc cx
66 41, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=cx
# inc ecx
41, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=ecx
# inc dx
66 42, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=dx
# inc edx
42, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=edx
# inc bx
66 43, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=bx
# inc ebx
