# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# invalid instruction
26262626262626262626262626262626, INVALID, Legacy, INTEL8086, flow=Exception
# add dh,cl
00 CE, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=dh r=cl
# add [rax],bh
00 38, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=rax r=bh rwm=ds:rax;UInt8
# add si,cx
66 01 CE, Add_rm16_r16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=si r=cx
# add [rax],bx
66 01 18, Add_rm16_r16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=rax r=bx rwm=ds:rax;UInt16
# add esi,ecx
01 CE, Add_rm32_r32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rsi r=esi r=ecx
# add [rax],ebx
01 18, Add_rm32_r32, Legacy, INTEL386, fw=oszacp op0=rw op1=r r=rax r=ebx rwm=ds:rax;UInt32
# add rsi,rcx
48 01 CE, Add_rm64_r64, Legacy, X64, fw=oszacp op0=rw op1=r rw=rsi r=rcx
# add [rax],rbx
48 01 18, Add_rm64_r64, Legacy, X64, fw=oszacp op0=rw op1=r r=rax r=rbx rwm=ds:rax;UInt64
# add cl,dh
02 CE, Add_r8_rm8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=cl r=dh
# add bh,[rax]
02 38, Add_r8_rm8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=bh r=rax rm=ds:rax;UInt8
# add cx,si
66 03 CE, Add_r16_rm16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=cx r=si
# add bx,[rax]
66 03 18, Add_r16_rm16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=bx r=rax rm=ds:rax;UInt16
# add ecx,esi
03 CE, Add_r32_rm32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rcx r=ecx r=esi
# add ebx,[rax]
03 18, Add_r32_rm32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rbx r=ebx r=rax rm=ds:rax;UInt32
# add rcx,rsi
48 03 CE, Add_r64_rm64, Legacy, X64, fw=oszacp op0=rw op1=r rw=rcx r=rsi
# add rbx,[rax]
48 03 18, Add_r64_rm64, Legacy, X64, fw=oszacp op0=rw op1=r rw=rbx r=rax rm=ds:rax;UInt64
# add al,0A5h
04 A5, Add_AL_imm8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=al
# add ax,5AA5h
66 05 A55A, Add_AX_imm16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=ax
# add eax,12345AA5h
05 A55A3412, Add_EAX_imm32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rax r=eax
# add rax,0FFFFFFFFA2345AA5h
48 05 A55A34A2, Add_RAX_imm32, Legacy, X64, fw=oszacp op0=rw op1=r rw=rax
# or dh,cl
08 CE, Or_rm8_r8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=dh r=cl
# or [rax],bh
08 38, Or_rm8_r8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=bh rwm=ds:rax;UInt8
# or si,cx
66 09 CE, Or_rm16_r16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=si r=cx
# or [rax],bx
66 09 18, Or_rm16_r16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=bx rwm=ds:rax;UInt16
# or esi,ecx
09 CE, Or_rm32_r32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rsi r=esi r=ecx
# or [rax],ebx
09 18, Or_rm32_r32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=ebx rwm=ds:rax;UInt32
# or rsi,rcx
48 09 CE, Or_rm64_r64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rsi r=rcx
# or [rax],rbx
48 09 18, Or_rm64_r64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=rbx rwm=ds:rax;UInt64
# or cl,dh
0A CE, Or_r8_rm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=cl r=dh
# or bh,[rax]
0A 38, Or_r8_rm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=bh r=rax rm=ds:rax;UInt8
# or cx,si
66 0B CE, Or_r16_rm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=cx r=si
# or bx,[rax]
